City,Rent_Index,Safety_Index,Cost_of_Living,Purchasing_Power,Quality_of_Life
Prague,98.31,59.99,64.34,89.74,27.8
Brussels,79.18,49.57,31.96,99.35,35.58
Copenhagen,115.34,46.17,81.02,90.12,18.73
Stockholm,108.84,78.74,59.0,129.75,47.85
Vienna,77.77,36.37,35.96,99.25,31.46
Athens,107.37,54.35,38.55,108.6,34.42
Budapest,31.02,62.68,65.91,87.36,40.95
London,98.9,82.33,64.91,91.01,34.83
Stockholm,116.74,72.36,72.12,121.67,39.82
London,114.15,46.76,35.16,48.13,6.93
Prague,93.23,51.86,66.76,83.19,23.51
Athens,72.27,58.75,81.03,94.86,33.01
Helsinki,79.17,69.54,53.72,68.76,27.16
Warsaw,115.16,36.88,86.23,116.21,25.89
Dublin,41.49,37.59,78.85,110.32,39.22
Dublin,85.42,89.35,99.22,58.35,23.14
Dublin,67.45,32.31,86.78,70.33,15.66
London,50.08,74.13,55.44,119.3,54.4
Vienna,78.55,38.48,38.91,52.55,12.96
Rome,108.35,84.15,83.79,82.05,28.02
Dublin,54.41,59.0,40.55,101.03,43.18
Vienna,45.16,88.26,52.99,60.21,36.23
Stockholm,114.96,62.87,70.31,88.34,24.17
Copenhagen,40.9,77.16,84.26,57.98,29.73
Athens,88.38,33.06,75.23,118.83,32.25
Warsaw,34.05,57.51,51.94,104.96,47.23
Brussels,102.18,32.67,56.5,105.42,25.88
Lisbon,23.64,30.68,52.15,59.58,23.09
Oslo,20.57,71.21,84.33,95.53,47.03
Oslo,34.34,49.06,36.02,78.54,35.66
Brussels,55.16,65.86,94.73,85.14,33.31
Rome,23.6,47.42,66.61,124.32,52.57
Vienna,54.17,57.42,59.17,66.36,27.02
Athens,28.3,32.42,74.46,80.46,28.8
Zurich,72.21,84.3,79.4,68.39,30.26
Zurich,53.98,46.86,81.3,42.39,12.09
Berlin,32.18,88.91,96.85,99.62,50.4
Warsaw,100.53,38.01,71.29,115.1,30.21
Helsinki,86.35,32.45,62.81,76.55,16.8
Madrid,62.93,62.05,85.71,80.19,29.53
Budapest,95.23,40.67,68.7,74.61,16.13
Oslo,104.88,61.04,64.52,126.6,41.52
Rome,24.27,44.85,90.64,73.53,28.95
Prague,56.54,34.93,62.24,72.77,22.06
Madrid,90.72,56.89,91.21,88.15,25.06
Dublin,106.63,53.53,90.88,84.72,19.53
Zurich,68.99,83.95,53.07,98.18,45.35
Madrid,116.14,38.82,55.43,91.03,19.29
Berlin,60.86,64.87,69.67,54.0,21.92
Budapest,66.51,59.53,83.84,65.06,22.2
Brussels,47.07,36.4,45.48,88.58,32.39
Athens,27.09,82.91,86.35,69.18,38.49
Helsinki,81.98,89.11,64.09,103.9,45.49
Lisbon,77.43,30.12,55.81,108.84,31.5
Vienna,102.59,86.06,43.58,100.32,41.07
Amsterdam,85.92,64.77,77.43,84.85,28.44
Prague,85.28,85.79,70.57,112.55,46.64
Zurich,72.06,52.88,52.97,97.6,35.19
Oslo,20.04,48.36,77.57,54.55,24.56
Rome,106.23,50.26,73.3,55.65,8.76
Athens,79.21,73.29,31.12,96.05,41.45
Brussels,117.57,79.64,99.2,40.99,6.85
Athens,28.78,57.57,81.15,72.8,32.52
Oslo,83.14,77.53,55.04,67.73,28.22
Helsinki,22.7,88.57,52.92,123.29,66.05
Copenhagen,91.02,51.87,53.19,103.52,33.45
Madrid,111.16,46.13,73.78,47.8,3.35
London,75.08,55.33,35.81,126.43,48.57
Oslo,91.68,54.54,61.79,45.7,10.13
Madrid,98.64,31.77,93.73,91.19,16.91
Stockholm,105.15,56.52,87.79,96.82,25.87
Vienna,55.85,69.83,30.83,113.85,52.24
Prague,74.0,61.06,92.79,99.15,33.9
Dublin,78.26,70.75,30.78,70.07,30.52
Copenhagen,70.41,44.61,99.17,56.82,12.11
Warsaw,84.82,36.4,80.1,76.91,16.71
Amsterdam,65.53,50.01,66.63,90.16,31.3
London,34.21,82.18,59.69,52.67,32.91
Warsaw,44.83,64.69,81.47,70.05,30.31
Lisbon,78.87,38.07,54.52,98.52,29.6
Lisbon,39.21,78.45,54.54,54.58,32.07
Helsinki,101.39,81.1,55.71,51.33,19.01
Oslo,67.33,52.32,99.0,96.93,31.1
Paris,100.7,65.71,36.14,99.24,35.65
Helsinki,23.01,34.59,56.78,113.59,45.53
Amsterdam,32.81,77.49,39.77,41.59,29.34
Budapest,49.41,38.42,88.69,94.73,30.67
Rome,112.28,56.69,70.56,115.63,33.75
Zurich,71.19,68.32,50.18,120.68,49.51
Warsaw,103.03,63.31,54.47,81.06,25.36
Paris,51.03,81.63,87.25,47.24,24.45
Stockholm,24.42,74.77,33.94,43.82,31.68
Oslo,101.4,32.39,75.97,72.42,10.81
Berlin,74.3,47.57,79.29,81.18,23.95
Oslo,104.26,48.74,93.1,52.57,5.49
Athens,51.9,64.92,55.89,125.29,53.62
London,98.95,35.73,52.57,114.49,31.47
Oslo,107.89,44.58,71.15,65.31,10.8
Copenhagen,67.71,73.46,73.98,67.85,28.24
Budapest,37.34,32.24,94.96,103.02,33.92
Madrid,69.9,88.21,51.84,78.61,38.74
Athens,45.35,75.93,48.58,89.21,44.53
Amsterdam,113.96,81.96,49.11,41.59,13.52
Prague,97.69,58.26,92.1,75.79,19.05
Amsterdam,105.57,72.25,91.61,80.42,23.57
Berlin,90.39,63.58,47.72,43.92,13.79
Lisbon,119.05,41.07,57.75,56.22,5.22
Berlin,36.48,52.17,61.37,46.86,20.96
Dublin,73.67,88.63,88.87,57.6,26.01
Paris,51.67,57.91,62.37,105.49,43.0
Copenhagen,56.81,33.54,62.06,59.2,16.17
Athens,98.05,65.14,31.15,46.88,15.57
Lisbon,46.98,58.66,76.0,47.24,19.5
Prague,39.32,65.44,32.01,126.83,59.3
Madrid,60.66,84.09,94.23,113.67,49.14
Helsinki,100.68,47.74,66.91,75.64,17.75
Copenhagen,105.49,66.73,44.79,120.92,42.81
Paris,109.83,54.47,76.2,97.36,25.7
Vienna,96.83,69.41,50.09,76.84,27.18
Zurich,59.88,68.74,81.39,55.31,22.63
Helsinki,44.88,64.13,89.07,83.58,34.79
Brussels,51.46,49.42,99.7,48.04,13.78
Budapest,86.87,80.05,56.01,54.66,22.9
Vienna,70.66,42.55,77.32,40.33,7.03
Berlin,29.91,52.95,68.14,98.86,42.63
Berlin,103.0,69.42,74.66,81.99,25.56
Athens,77.86,33.32,89.13,78.51,16.92
Madrid,59.27,55.98,91.91,72.48,24.74
Helsinki,111.72,75.5,33.55,69.03,24.56
Rome,60.04,50.54,59.14,81.05,29.66
Warsaw,116.9,85.97,62.39,96.7,34.85
Berlin,105.32,66.02,82.33,117.04,37.33
Rome,20.2,67.06,45.12,111.72,56.25
Berlin,41.2,68.78,39.95,121.87,57.15
Oslo,33.37,44.22,54.66,98.17,40.39
Rome,115.69,62.22,73.6,85.62,22.42
Dublin,101.01,73.05,63.07,125.64,45.66
Warsaw,85.72,38.15,48.64,123.12,38.69
Helsinki,74.5,51.19,85.81,88.81,27.4
Prague,79.4,80.33,61.57,82.34,35.0
Budapest,81.53,38.14,95.15,77.33,16.55
Rome,67.62,51.63,46.11,128.78,48.87
Dublin,119.1,71.29,58.35,57.22,14.62
London,109.61,80.0,95.23,128.75,44.05
Oslo,105.25,83.7,85.66,102.67,36.56
Helsinki,36.24,32.35,47.88,121.6,46.31
Lisbon,59.98,66.13,44.42,114.86,49.34
London,98.0,89.74,97.52,82.1,30.41
Amsterdam,35.38,54.23,61.74,123.3,52.34
Copenhagen,25.77,86.71,56.91,107.02,57.98
Dublin,89.34,77.11,82.59,120.69,45.28
Paris,22.97,68.13,86.2,87.82,42.35
Zurich,92.71,53.98,82.71,112.55,34.4
Lisbon,47.32,85.13,95.33,42.97,23.73
Paris,39.68,52.67,97.08,101.64,38.81
Prague,117.63,30.45,71.35,64.43,4.25
Oslo,94.79,44.7,95.74,64.34,10.61
Budapest,65.63,45.66,55.84,73.74,24.48
Amsterdam,21.65,89.34,76.33,61.3,39.36
Helsinki,29.11,46.61,64.76,103.97,43.27
Warsaw,57.79,81.92,93.76,47.31,22.57
Vienna,24.91,51.67,85.7,86.96,36.73
Vienna,94.48,53.73,31.93,94.8,31.95
Oslo,54.8,37.07,43.23,74.13,25.49
Paris,118.03,84.69,77.31,90.11,30.11
Berlin,24.97,78.32,59.57,91.91,49.31
Dublin,45.77,79.29,57.57,99.5,48.68
Vienna,28.24,75.46,54.49,75.41,41.7
Vienna,95.52,37.17,43.49,88.22,22.99
Oslo,113.89,69.59,99.63,42.96,5.32
Paris,68.58,62.27,60.06,126.52,49.57
Vienna,70.31,73.15,89.84,72.15,27.76
Berlin,46.05,70.88,81.06,91.38,40.5
Budapest,63.53,40.6,42.01,51.33,15.8
Berlin,46.29,88.61,55.27,55.36,33.94
Brussels,101.28,31.79,73.5,50.42,2.1
Warsaw,84.43,63.57,91.15,88.68,28.54
Madrid,40.02,30.65,32.9,66.67,24.57
Rome,56.81,31.3,40.06,68.29,21.34
Stockholm,50.04,68.34,48.8,93.31,42.94
Oslo,96.05,52.4,78.53,101.61,29.3
Vienna,80.63,75.61,71.5,120.85,47.75
Dublin,32.98,34.91,98.01,119.08,41.71
Warsaw,107.94,66.19,41.26,102.9,35.3
Lisbon,87.07,85.92,82.41,86.03,34.53
Prague,33.97,64.42,37.32,52.85,29.94
Rome,88.95,83.76,32.7,57.29,26.98
Stockholm,103.36,61.16,30.53,115.77,40.93
Vienna,44.13,57.61,60.52,100.67,42.67
Prague,41.82,44.16,81.03,95.94,35.16
Oslo,51.55,38.77,88.67,84.76,26.36
Stockholm,52.39,86.84,66.38,127.54,59.95
Athens,79.28,85.72,66.61,84.1,36.84
Lisbon,75.17,71.25,74.98,101.01,39.25
Warsaw,65.66,76.56,50.71,67.74,31.86
Zurich,33.78,49.48,94.58,73.81,28.15
Stockholm,29.8,75.63,36.75,48.66,32.52
London,46.35,88.31,30.12,41.24,30.71
Athens,44.26,36.52,99.77,116.09,38.56
Helsinki,34.75,36.32,82.43,73.02,24.91
London,88.37,52.61,87.89,87.58,24.35
Amsterdam,67.24,44.56,92.3,128.56,42.11
London,97.69,71.07,91.41,55.51,14.85
Rome,72.37,31.02,71.64,77.74,18.76
Brussels,82.01,47.19,74.5,60.44,14.48
Brussels,68.46,36.14,45.57,106.45,35.17
Dublin,105.0,53.74,70.73,119.12,35.7
Helsinki,93.32,74.37,43.83,70.62,27.51
Oslo,47.29,37.39,54.95,50.06,16.29
Brussels,29.45,47.51,89.53,107.28,42.32
Helsinki,57.87,78.24,78.6,100.12,44.09
Lisbon,94.18,84.69,90.49,41.61,14.17
Paris,23.11,32.11,32.24,68.55,29.21
Stockholm,49.72,52.97,54.04,97.05,39.36
Brussels,54.92,51.47,88.71,101.99,36.38
Prague,62.29,61.9,71.7,103.85,40.48
Brussels,96.7,40.59,81.43,41.93,1.47
Rome,35.21,80.45,95.42,87.62,42.6
Budapest,100.14,61.18,51.24,115.15,39.26
Oslo,95.41,72.46,86.97,128.52,45.37
Rome,88.95,78.04,49.78,61.96,25.43
Stockholm,116.11,61.01,57.19,41.92,6.13
Madrid,66.28,49.38,34.22,74.18,27.81
Vienna,115.16,78.38,55.49,117.88,42.09
Athens,59.91,84.24,89.03,57.88,27.54
Paris,55.1,66.33,87.27,80.07,32.18
Rome,91.26,73.99,44.09,119.83,47.47
London,113.32,36.46,78.43,120.41,28.6
London,95.74,39.32,39.92,120.21,36.74
Paris,100.55,49.87,99.44,87.43,19.88
Madrid,99.67,36.46,77.37,104.15,24.93
London,58.94,72.97,67.29,99.27,43.08
Stockholm,115.85,71.08,60.28,73.68,21.6
Berlin,45.62,79.02,60.56,126.32,59.05
Berlin,45.05,67.19,72.48,58.8,27.42
Rome,69.12,51.69,76.68,87.88,29.17
Warsaw,118.5,63.56,89.8,84.75,20.29
Budapest,107.72,43.53,35.93,102.78,29.03
Zurich,49.73,30.24,94.95,111.37,34.18
Rome,102.68,54.43,95.31,45.86,4.61
Lisbon,46.35,35.74,80.01,57.6,16.49
Rome,53.62,82.76,55.33,70.29,36.69
Vienna,51.1,56.32,53.14,73.28,30.67
Athens,23.83,32.58,80.81,96.13,35.38
Paris,30.24,47.7,35.38,51.75,25.42
Madrid,85.34,49.26,62.81,46.87,10.18
Dublin,57.62,71.47,63.68,54.13,25.2
Lisbon,87.02,58.79,99.35,64.0,15.9
Oslo,119.18,51.1,34.81,56.43,10.58
Oslo,86.57,64.14,86.84,94.54,31.06
Oslo,30.48,53.65,33.84,48.2,25.89
London,39.94,51.2,40.38,105.03,45.35
Budapest,25.58,55.21,47.42,53.07,27.93
Paris,83.1,87.6,74.06,45.64,20.51
Budapest,41.23,79.32,88.67,124.38,56.44
Paris,21.81,78.07,52.26,113.42,59.2
Paris,88.51,74.14,68.88,111.74,42.35
Helsinki,98.49,40.8,75.88,127.31,35.88
Brussels,64.03,31.86,79.33,115.62,35.07
Athens,63.06,50.07,75.37,68.94,22.45
Paris,84.72,36.1,78.86,115.72,32.29
Helsinki,37.71,54.3,71.39,88.93,37.18
Paris,98.72,52.88,32.89,119.96,40.81
Helsinki,28.62,51.14,63.49,65.45,29.45
Warsaw,76.45,36.87,59.17,41.57,6.48
London,68.47,42.06,38.66,103.59,36.49
Vienna,65.42,66.63,32.56,103.1,44.89
Oslo,87.48,37.98,82.24,97.45,24.65
Brussels,33.01,55.28,46.68,41.38,21.87
Rome,113.31,46.5,61.56,127.97,36.32
Paris,82.02,73.69,56.35,50.16,20.13
Rome,51.06,54.23,44.69,56.43,24.16
Athens,47.39,30.24,87.79,56.28,13.33
Helsinki,43.35,83.31,90.67,42.58,24.29
Prague,72.27,43.25,87.38,128.27,41.09
Vienna,107.6,46.29,30.93,60.95,13.65
Warsaw,107.31,81.78,87.07,119.31,42.09
Madrid,89.07,63.98,40.11,43.03,14.58
Dublin,91.97,76.08,40.12,44.06,18.04
Paris,39.17,57.17,47.02,99.44,44.39
Stockholm,107.78,77.72,32.1,75.43,28.72
Stockholm,112.25,55.36,73.09,51.0,7.25
Paris,57.99,68.17,31.5,98.0,44.9
Warsaw,49.0,71.79,91.16,103.46,44.01
Berlin,93.55,50.64,53.05,90.13,27.23
Stockholm,42.31,65.44,75.23,89.95,39.63
Brussels,87.86,70.29,74.86,97.61,35.07
Madrid,56.46,54.65,65.84,69.22,26.21
Prague,69.56,52.14,87.63,124.76,42.87
Rome,32.17,64.73,71.85,58.35,29.14
Prague,81.19,47.57,61.3,78.34,23.24
Budapest,83.93,50.23,31.37,84.95,29.13
Warsaw,20.3,88.65,92.89,119.37,60.99
Rome,103.89,83.42,75.24,69.66,24.59
Stockholm,28.73,73.88,76.56,55.89,31.12
Brussels,24.89,80.59,58.46,90.58,49.58
Vienna,114.08,40.37,67.07,97.01,21.39
Oslo,31.9,87.38,64.94,78.6,44.78
Rome,92.81,88.19,92.95,114.72,44.49
Rome,93.43,89.88,66.21,46.54,20.27
Zurich,109.45,59.75,39.65,93.87,29.62
Rome,109.37,49.05,64.56,73.31,15.71
Helsinki,64.9,62.09,34.24,79.86,34.17
Paris,105.16,56.95,79.04,63.69,13.62
Vienna,94.34,44.45,60.38,76.76,19.13
Lisbon,34.61,79.64,70.58,122.25,58.81
Stockholm,40.29,56.85,93.17,62.0,24.48
Madrid,75.16,70.82,50.33,42.3,18.1
Zurich,38.2,44.2,94.66,112.78,41.27
Prague,60.02,67.75,97.66,58.38,21.91
Madrid,80.46,75.43,83.41,120.16,46.26
London,90.16,78.29,79.16,126.05,47.96
Helsinki,32.87,77.31,38.76,68.87,40.29
Vienna,82.57,60.91,51.92,60.89,20.92
Rome,61.85,79.82,53.38,88.25,41.54
Helsinki,88.63,40.95,62.8,96.56,26.9
Lisbon,82.47,68.84,39.97,71.82,28.89
Copenhagen,61.45,72.52,48.16,58.26,27.95
Stockholm,52.32,50.27,30.94,114.49,47.32
Paris,46.91,52.15,53.87,51.56,21.5
Vienna,33.14,78.53,47.87,64.4,37.9
Oslo,20.96,86.47,63.53,61.49,39.99
Athens,89.13,38.22,68.47,129.82,38.72
London,116.65,42.34,67.17,111.1,27.09
Copenhagen,83.28,75.76,65.64,115.29,45.62
Zurich,48.49,55.55,78.8,102.47,40.07
Berlin,23.18,87.68,70.96,100.23,54.66
Prague,38.28,79.8,79.82,85.82,42.63
Lisbon,59.8,36.07,33.04,41.12,12.0
Amsterdam,27.84,52.81,90.42,50.08,21.27
Berlin,93.93,73.58,81.44,90.35,31.28
Berlin,43.28,54.46,72.7,109.5,44.21
Copenhagen,65.19,77.22,62.43,118.15,51.15
Warsaw,20.72,77.83,30.95,102.97,57.3
Madrid,91.42,46.57,58.51,124.63,39.69
Lisbon,58.32,70.12,92.94,82.45,33.06
Madrid,119.84,57.52,75.61,119.79,33.64
Oslo,51.57,71.12,76.25,75.03,33.41
Berlin,119.55,44.91,53.12,96.82,22.98
Athens,111.9,60.31,41.87,128.44,42.9
Budapest,94.07,87.69,85.04,66.07,25.42
Vienna,34.4,52.89,39.58,75.48,35.22
Vienna,94.22,87.0,71.55,71.12,28.55
Vienna,78.18,81.58,93.58,109.66,43.34
Vienna,45.29,55.07,80.34,62.08,24.26
London,60.98,48.56,86.32,93.62,31.19
Oslo,63.62,57.17,98.32,99.04,34.21
Amsterdam,79.06,47.16,67.34,47.45,10.58
London,69.33,59.94,48.41,127.8,50.4
Oslo,98.88,64.5,54.6,106.15,36.57
Berlin,52.58,81.97,60.11,45.43,26.24
Athens,32.64,48.74,54.92,111.64,47.26
Vienna,114.14,81.77,46.43,51.8,17.78
Stockholm,52.98,51.06,53.23,114.22,45.09
Lisbon,100.17,88.56,91.86,125.24,47.44
Helsinki,34.44,46.25,97.19,123.86,46.81
Lisbon,89.39,87.5,50.06,59.18,27.04
Madrid,62.46,42.53,81.0,78.2,23.45
Madrid,86.43,36.2,68.73,76.36,17.25
Amsterdam,31.76,84.68,50.27,72.6,43.06
Zurich,112.52,30.39,99.08,100.54,16.92
Vienna,93.04,77.51,96.37,84.21,28.69
Oslo,71.72,32.9,32.73,129.14,43.91
Zurich,98.43,45.44,61.57,73.54,17.2
Dublin,72.29,67.82,68.88,101.13,39.45
Brussels,42.5,38.21,45.73,119.45,46.17
Budapest,78.97,38.86,39.01,101.61,32.61
Stockholm,21.52,76.34,53.11,123.57,62.71
Paris,117.33,58.96,73.78,73.31,16.17
Athens,49.8,37.73,77.55,48.11,12.85
Lisbon,78.47,84.37,64.16,82.7,36.28
Dublin,78.38,38.7,79.72,94.72,25.85
Warsaw,119.93,85.44,46.78,68.59,24.4
Dublin,34.29,61.16,97.59,127.49,52.73
Paris,52.97,76.53,77.29,40.65,20.9
Madrid,101.7,69.63,54.83,119.7,42.95
Budapest,102.11,36.79,61.06,96.13,22.96
Copenhagen,46.36,82.39,92.76,90.82,42.5
Paris,31.6,48.99,35.54,92.4,41.78
Athens,112.46,62.71,69.9,58.9,12.89
Vienna,94.34,45.72,91.34,88.59,21.15
Amsterdam,66.35,39.35,48.06,112.89,38.89
Berlin,61.87,34.72,80.85,78.83,21.49
Madrid,63.85,66.99,71.85,124.56,49.97
Vienna,83.93,51.33,82.51,71.63,19.01
Stockholm,73.94,74.6,67.2,110.71,45.16
Berlin,31.42,73.63,46.28,78.25,42.48
Lisbon,30.88,31.91,43.5,93.46,36.43
Zurich,84.01,83.93,63.82,71.52,30.6
Vienna,62.64,42.91,70.67,98.96,32.86
London,62.07,45.02,79.72,57.84,16.26
